id,obuphone,vehicleid,can_param,can_val,can_time,can_id,can_hexval,createddate,can_val_status,alaramid,reqresid,serialno
1849000513,5251230189,37687,MCU_temp_alarm,0,01/03/2023 00:59,18F501F0,4e4b1202ff250000,03/01/2023 01:00,,895cbcb7-1b69-be76-a5e8-390435da0ef4,140187082,266
1849000512,5250928144,37675,DCDC_body_temp,65,01/03/2023 00:58,0CF602A1,014c376900100270,03/01/2023 01:00,,401c219f-8051-99d1-bd76-5f100df64c1d,140187256,0eff
1849000511,5251313857,37668,BMS_Comm_failure,0,01/03/2023 00:57,18F205F3,4000,03/01/2023 01:00,,8189d23e-0c4f-e1c9-38d1-6f74de02c3b6,140187240,071c
1849000510,5250928150,37667,STOP_status,0,01/03/2023 00:57,18F40117,8a2890a8a80a00e5,03/01/2023 01:00,,ca984afb-eca6-a337-2e60-a3839ee20b93,140187179,164a
1849000509,5251313819,37639,Mileage,145971.625,01/03/2023 00:58,18F40217,9dd11100ffffffff,03/01/2023 01:00,,4c35c3a7-46d7-45a4-3dcc-0841e6d1a60d,140187115,073a
1849000508,5250928160,37659,Bat_overcharge_alarm,0,01/03/2023 00:59,18F205F3,4000,03/01/2023 01:00,No Failure,e3fafb02-4b31-7c04-729c-3f4ebfcc43d6,140187223,12a5
1849000507,5250928148,37669,Door_pump_air_pressure_alarm,0,01/03/2023 00:57,18F40117,8a28d0baba0b00c5,03/01/2023 01:00,,e01cec2e-7795-59dc-abd5-cc604cd320ee,140187203,1b1e
1849000506,5251313822,37654,Heating_status,0,01/03/2023 00:57,18F205F3,4000,03/01/2023 01:00,,09d0234e-bc41-9fd6-3a18-59ba7626dff6,140187246,1d3d
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
